user_id,demographic_segment,assigned_perk
431337,Middle-Aged Single Females,Free Hotel Meal
431602,Middle-Aged Single Females,1 Night Free Hotel with Flight
431746,Middle-Aged Single Females,1 Night Free Hotel with Flight
431899,Middle-Aged Single Females,1 Night Free Hotel with Flight
431912,Middle-Aged Family Females,Free Checked Bag
432333,Senior Family Females,1 Night Free Hotel with Flight
432637,Middle-Aged Family Females,Exclusive Discounts
432941,Middle-Aged Single Females,1 Night Free Hotel with Flight
433080,Middle-Aged Single Females,Exclusive Discounts
433339,Adult Family Females,Free Hotel Meal
433905,Adult Single Females,Free Hotel Meal
434238,Senior Family Females,Free Checked Bag
434623,Adult Single Females,Exclusive Discounts
435231,Adult Single Females,Free Hotel Meal
435596,Senior Single Females,Exclusive Discounts
435669,Middle-Aged Family Females,1 Night Free Hotel with Flight
435837,Senior Single Females,Free Hotel Meal
435882,Senior Single Females,No Cancellation Fee
436320,Senior Family Females,Exclusive Discounts
436894,Middle-Aged Single Females,Free Checked Bag
437069,Middle-Aged Single Females,Exclusive Discounts
437162,Adult Single Females,Free Hotel Meal
437251,Middle-Aged Single Females,Free Hotel Meal
437539,Senior Single Females,Exclusive Discounts
437549,Middle-Aged Single Females,Exclusive Discounts
438189,Middle-Aged Single Females,Exclusive Discounts
438406,Middle-Aged Single Females,1 Night Free Hotel with Flight
438551,Middle-Aged Family Females,Exclusive Discounts
438596,Young Adult Single Females,Free Hotel Meal
438839,Senior Family Females,Free Checked Bag
438937,Middle-Aged Single Females,1 Night Free Hotel with Flight
438985,Adult Single Females,1 Night Free Hotel with Flight
438995,Young Adult Single Females,Free Hotel Meal
439052,Senior Single Females,Free Checked Bag
439120,Middle-Aged Single Males,Exclusive Discounts
439363,Senior Single Females,No Cancellation Fee
440212,Middle-Aged Family Females,Exclusive Discounts
440655,Adult Family Females,Exclusive Discounts
441200,Middle-Aged Family Females,Free Checked Bag
441205,Senior Family Females,1 Night Free Hotel with Flight
441448,Adult Family Females,Free Checked Bag
441457,Elderly Single Females,Free Hotel Meal
441982,Senior Single Females,No Cancellation Fee
442484,Middle-Aged Single Females,Exclusive Discounts
442718,Senior Family Females,1 Night Free Hotel with Flight
442812,Senior Family Females,Free Hotel Meal
442819,Elderly Single Females,1 Night Free Hotel with Flight
442833,Middle-Aged Single Females,1 Night Free Hotel with Flight
443305,Young Adult Single Females,Free Hotel Meal
443453,Middle-Aged Single Females,Exclusive Discounts
443598,Middle-Aged Single Females,1 Night Free Hotel with Flight
443652,Adult Single Females,1 Night Free Hotel with Flight
444387,Senior Single Females,No Cancellation Fee
444885,Adult Single Females,Free Checked Bag
445351,Senior Family Females,No Cancellation Fee
445515,Middle-Aged Single Females,1 Night Free Hotel with Flight
446124,Middle-Aged Single Females,No Cancellation Fee
446138,Middle-Aged Single Females,Exclusive Discounts
446473,Senior Single Females,Exclusive Discounts
446933,Senior Single Males,Exclusive Discounts
447053,Middle-Aged Family Females,Free Hotel Meal
447591,Young Adult Single Males,Free Hotel Meal
447737,Middle-Aged Single Females,1 Night Free Hotel with Flight
447951,Middle-Aged Single Females,Free Checked Bag
448025,Adult Single Females,1 Night Free Hotel with Flight
448154,Elderly Single Females,1 Night Free Hotel with Flight
448295,Senior Single Males,Free Hotel Meal
448467,Middle-Aged Single Females,Free Hotel Meal
448564,Senior Single Females,Free Hotel Meal
449033,Middle-Aged Single Females,Free Checked Bag
449326,Middle-Aged Single Females,1 Night Free Hotel with Flight
449619,Adult Single Females,Free Checked Bag
449804,Middle-Aged Single Females,1 Night Free Hotel with Flight
449980,Teenage Single Females,1 Night Free Hotel with Flight
450164,Middle-Aged Single Females,No Cancellation Fee
450193,Adult Single Females,1 Night Free Hotel with Flight
450305,Middle-Aged Single Females,Exclusive Discounts
450615,Middle-Aged Single Females,Free Checked Bag
451291,Senior Single Females,Free Checked Bag
451674,Young Adult Family Females,No Cancellation Fee
452034,Senior Single Females,No Cancellation Fee
452532,Adult Single Females,1 Night Free Hotel with Flight
452594,Middle-Aged Family Females,Exclusive Discounts
452612,Middle-Aged Family Females,1 Night Free Hotel with Flight
453143,Senior Single Females,Exclusive Discounts
453168,Senior Single Females,No Cancellation Fee
454264,Senior Family Females,No Cancellation Fee
454430,Middle-Aged Single Females,1 Night Free Hotel with Flight
454616,Middle-Aged Single Females,1 Night Free Hotel with Flight
454661,Senior Single Females,No Cancellation Fee
454920,Middle-Aged Single Females,1 Night Free Hotel with Flight
454934,Middle-Aged Single Females,Exclusive Discounts
454955,Senior Single Females,1 Night Free Hotel with Flight
456226,Senior Single Females,Free Checked Bag
456318,Adult Single Females,Free Checked Bag
456663,Middle-Aged Family Females,Free Checked Bag
456671,Middle-Aged Single Females,Free Checked Bag
457468,Middle-Aged Single Females,Exclusive Discounts
457599,Middle-Aged Single Females,No Cancellation Fee
457967,Young Adult Single Females,No Cancellation Fee
458479,Middle-Aged Single Females,Exclusive Discounts
458688,Middle-Aged Single Females,No Cancellation Fee
458725,Teenage Single Females,Free Hotel Meal
458762,Middle-Aged Family Females,Free Checked Bag
458814,Adult Single Females,No Cancellation Fee
458855,Adult Family Females,1 Night Free Hotel with Flight
458919,Middle-Aged Single Females,1 Night Free Hotel with Flight
459229,Middle-Aged Single Females,1 Night Free Hotel with Flight
459486,Adult Single Females,1 Night Free Hotel with Flight
459645,Adult Single Females,Free Checked Bag
460072,Senior Single Males,1 Night Free Hotel with Flight
460181,Elderly Single Females,Free Hotel Meal
460553,Senior Family Females,Free Hotel Meal
460625,Senior Family Females,Free Hotel Meal
461559,Adult Single Females,Exclusive Discounts
461744,Adult Single Females,Free Hotel Meal
461791,Senior Family Females,No Cancellation Fee
462127,Middle-Aged Single Females,Free Checked Bag
462456,Middle-Aged Family Females,No Cancellation Fee
462894,Senior Single Females,No Cancellation Fee
463652,Middle-Aged Single Females,Free Hotel Meal
463698,Middle-Aged Single Females,No Cancellation Fee
463783,Senior Single Females,No Cancellation Fee
463867,Adult Single Females,Free Hotel Meal
463910,Middle-Aged Single Females,1 Night Free Hotel with Flight
464080,Elderly Single Females,Free Checked Bag
464160,Senior Family Females,1 Night Free Hotel with Flight
464239,Senior Single Females,Free Checked Bag
464542,Young Adult Family Females,Exclusive Discounts
464597,Elderly Family Females,Free Hotel Meal
464614,Middle-Aged Single Females,Exclusive Discounts
464673,Senior Family Males,Free Checked Bag
464782,Senior Family Females,Free Hotel Meal
464855,Adult Family Females,1 Night Free Hotel with Flight
465138,Middle-Aged Single Females,Free Checked Bag
465343,Senior Family Females,1 Night Free Hotel with Flight
465531,Adult Single Females,Free Hotel Meal
465568,Senior Family Females,1 Night Free Hotel with Flight
465731,Elderly Single Females,1 Night Free Hotel with Flight
466205,Middle-Aged Family Females,1 Night Free Hotel with Flight
466342,Teenage Single Males,Free Hotel Meal
466723,Middle-Aged Single Females,1 Night Free Hotel with Flight
467007,Senior Family Males,Exclusive Discounts
467092,Teenage Family Females,No Cancellation Fee
467339,Middle-Aged Family Females,Free Checked Bag
467809,Senior Family Females,Exclusive Discounts
467892,Adult Single Females,1 Night Free Hotel with Flight
468106,Middle-Aged Single Females,1 Night Free Hotel with Flight
468370,Adult Single Females,Free Hotel Meal
468409,Senior Single Females,1 Night Free Hotel with Flight
468666,Middle-Aged Family Females,Exclusive Discounts
468801,Middle-Aged Family Females,No Cancellation Fee
468808,Senior Family Females,Exclusive Discounts
468832,Middle-Aged Single Females,1 Night Free Hotel with Flight
469237,Teenage Family Females,Free Hotel Meal
469418,Young Adult Family Females,1 Night Free Hotel with Flight
469440,Middle-Aged Family Females,1 Night Free Hotel with Flight
469464,Senior Single Females,Free Hotel Meal
469699,Senior Family Females,Free Hotel Meal
469767,Senior Single Females,Free Checked Bag
469824,Senior Single Females,Free Hotel Meal
471077,Elderly Single Females,Exclusive Discounts
471161,Middle-Aged Single Females,Exclusive Discounts
471186,Senior Single Females,1 Night Free Hotel with Flight
471500,Adult Family Females,Free Hotel Meal
471565,Adult Family Females,Free Hotel Meal
471649,Senior Family Females,Free Checked Bag
471687,Middle-Aged Single Females,1 Night Free Hotel with Flight
471717,Senior Family Females,No Cancellation Fee
471935,Senior Single Females,Free Hotel Meal
471946,Middle-Aged Family Females,Free Hotel Meal
471973,Middle-Aged Family Females,Free Hotel Meal
472394,Middle-Aged Single Females,1 Night Free Hotel with Flight
472446,Teenage Single Females,1 Night Free Hotel with Flight
472614,Middle-Aged Single Females,Free Checked Bag
472713,Middle-Aged Family Females,Exclusive Discounts
472785,Senior Single Males,1 Night Free Hotel with Flight
472966,Middle-Aged Single Females,No Cancellation Fee
473332,Senior Single Females,1 Night Free Hotel with Flight
473343,Senior Single Females,Free Hotel Meal
473402,Middle-Aged Single Females,1 Night Free Hotel with Flight
473467,Middle-Aged Single Females,Exclusive Discounts
473568,Senior Family Females,1 Night Free Hotel with Flight
473712,Senior Single Females,Exclusive Discounts
473847,Adult Family Females,No Cancellation Fee
474007,Teenage Single Females,1 Night Free Hotel with Flight
474120,Middle-Aged Family Males,1 Night Free Hotel with Flight
474239,Young Adult Family Females,Free Checked Bag
474261,Adult Single Females,Free Hotel Meal
474278,Young Adult Single Females,Free Hotel Meal
474384,Middle-Aged Single Females,1 Night Free Hotel with Flight
474464,Elderly Single Females,1 Night Free Hotel with Flight
474546,Senior Single Females,No Cancellation Fee
474951,Middle-Aged Single Females,Free Hotel Meal
474980,Middle-Aged Single Females,Free Hotel Meal
475060,Adult Single Females,Free Checked Bag
475130,Senior Family Females,Exclusive Discounts
475467,Middle-Aged Single Females,Free Checked Bag
475531,Middle-Aged Single Females,1 Night Free Hotel with Flight
476081,Elderly Family Females,Free Hotel Meal
476104,Senior Family Females,Free Hotel Meal
476124,Adult Single Females,1 Night Free Hotel with Flight
476173,Young Adult Single Females,Free Hotel Meal
476270,Senior Single Males,Free Hotel Meal
476393,Senior Single Females,1 Night Free Hotel with Flight
476436,Middle-Aged Family Females,Free Checked Bag
476535,Senior Family Females,Free Checked Bag
476665,Middle-Aged Single Females,1 Night Free Hotel with Flight
476693,Middle-Aged Single Females,1 Night Free Hotel with Flight
476714,Middle-Aged Single Females,Exclusive Discounts
476742,Senior Family Males,No Cancellation Fee
476916,Adult Family Females,No Cancellation Fee
476956,Adult Single Females,1 Night Free Hotel with Flight
477285,Senior Single Females,Free Hotel Meal
477316,Middle-Aged Single Females,1 Night Free Hotel with Flight
477597,Senior Family Females,1 Night Free Hotel with Flight
477730,Middle-Aged Single Females,1 Night Free Hotel with Flight
477805,Adult Single Females,Free Hotel Meal
478003,Senior Single Males,No Cancellation Fee
478146,Senior Single Females,Exclusive Discounts
478188,Adult Single Males,Free Hotel Meal
478228,Adult Single Males,Free Hotel Meal
478291,Senior Family Females,1 Night Free Hotel with Flight
478533,Senior Single Females,Free Hotel Meal
478585,Senior Single Females,1 Night Free Hotel with Flight
478760,Young Adult Single Females,1 Night Free Hotel with Flight
478801,Senior Single Females,Free Hotel Meal
478834,Middle-Aged Family Males,No Cancellation Fee
479071,Middle-Aged Single Females,Free Hotel Meal
479078,Teenage Single Males,1 Night Free Hotel with Flight
479101,Middle-Aged Family Females,Exclusive Discounts
479254,Middle-Aged Single Females,No Cancellation Fee
479524,Adult Single Females,1 Night Free Hotel with Flight
479785,Middle-Aged Family Males,No Cancellation Fee
480186,Young Adult Single Females,Free Hotel Meal
480313,Senior Single Females,No Cancellation Fee
480331,Middle-Aged Single Females,No Cancellation Fee
480690,Senior Single Females,No Cancellation Fee
480796,Middle-Aged Family Females,1 Night Free Hotel with Flight
480877,Senior Single Females,Free Checked Bag
480895,Middle-Aged Single Females,1 Night Free Hotel with Flight
480975,Elderly Single Females,Free Hotel Meal
481050,Senior Family Females,Free Hotel Meal
481245,Senior Single Females,No Cancellation Fee
481292,Adult Single Females,Free Checked Bag
481358,Teenage Single Females,No Cancellation Fee
481554,Senior Single Females,1 Night Free Hotel with Flight
481622,Middle-Aged Single Females,No Cancellation Fee
481772,Adult Single Females,Exclusive Discounts
481781,Elderly Single Females,Free Hotel Meal
482264,Middle-Aged Family Females,Free Hotel Meal
482335,Middle-Aged Single Females,Free Hotel Meal
482424,Middle-Aged Single Females,Exclusive Discounts
482548,Adult Family Females,Free Checked Bag
482602,Middle-Aged Single Females,No Cancellation Fee
482621,Senior Family Females,1 Night Free Hotel with Flight
482630,Adult Single Females,No Cancellation Fee
482744,Middle-Aged Single Females,Free Hotel Meal
482811,Elderly Single Males,Free Checked Bag
483224,Senior Single Females,No Cancellation Fee
483237,Middle-Aged Single Females,Free Checked Bag
483345,Middle-Aged Family Females,No Cancellation Fee
483480,Middle-Aged Family Males,Free Hotel Meal
483483,Senior Family Females,No Cancellation Fee
483525,Senior Family Females,1 Night Free Hotel with Flight
483603,Middle-Aged Single Females,No Cancellation Fee
483928,Middle-Aged Single Females,No Cancellation Fee
483982,Teenage Single Females,Free Checked Bag
484249,Middle-Aged Single Females,1 Night Free Hotel with Flight
484342,Teenage Single Females,No Cancellation Fee
484418,Middle-Aged Single Females,Free Checked Bag
484987,Elderly Single Females,Free Checked Bag
485149,Middle-Aged Single Females,Free Hotel Meal
485260,Senior Family Females,No Cancellation Fee
485393,Adult Single Females,1 Night Free Hotel with Flight
485505,Adult Single Females,Free Checked Bag
485518,Adult Single Females,Exclusive Discounts
485536,Middle-Aged Family Females,No Cancellation Fee
485544,Middle-Aged Single Females,1 Night Free Hotel with Flight
485591,Senior Single Females,Free Hotel Meal
485658,Adult Single Females,Free Checked Bag
485780,Middle-Aged Family Females,Exclusive Discounts
485785,Adult Single Females,1 Night Free Hotel with Flight
485891,Adult Family Females,Exclusive Discounts
485894,Middle-Aged Family Females,1 Night Free Hotel with Flight
486046,Elderly Single Females,Free Hotel Meal
486113,Senior Single Females,No Cancellation Fee
486191,Elderly Single Females,Free Hotel Meal
486261,Middle-Aged Single Females,1 Night Free Hotel with Flight
486268,Adult Single Females,No Cancellation Fee
486270,Adult Single Females,1 Night Free Hotel with Flight
486366,Senior Single Females,1 Night Free Hotel with Flight
486447,Adult Family Females,No Cancellation Fee
486454,Senior Family Males,No Cancellation Fee
486605,Adult Single Females,1 Night Free Hotel with Flight
486671,Senior Family Females,1 Night Free Hotel with Flight
486751,Senior Single Females,1 Night Free Hotel with Flight
486823,Adult Single Females,1 Night Free Hotel with Flight
487002,Young Adult Single Females,No Cancellation Fee
487036,Middle-Aged Family Females,Free Checked Bag
487040,Middle-Aged Family Females,Exclusive Discounts
487101,Middle-Aged Single Females,Free Hotel Meal
487276,Elderly Single Females,Free Hotel Meal
487352,Teenage Family Females,Free Hotel Meal
487453,Middle-Aged Single Females,Exclusive Discounts
487637,Senior Family Males,Free Hotel Meal
487680,Senior Family Females,1 Night Free Hotel with Flight
487715,Senior Single Females,1 Night Free Hotel with Flight
487858,Middle-Aged Single Females,No Cancellation Fee
487954,Middle-Aged Single Males,1 Night Free Hotel with Flight
488009,Senior Single Females,No Cancellation Fee
488099,Teenage Single Females,Free Hotel Meal
488246,Teenage Single Females,Free Hotel Meal
488314,Elderly Single Females,1 Night Free Hotel with Flight
488410,Senior Family Females,No Cancellation Fee
488430,Teenage Single Females,1 Night Free Hotel with Flight
488462,Middle-Aged Single Females,Exclusive Discounts
488480,Middle-Aged Single Males,1 Night Free Hotel with Flight
488511,Middle-Aged Single Females,Exclusive Discounts
488529,Senior Family Females,1 Night Free Hotel with Flight
488539,Senior Single Females,No Cancellation Fee
488672,Senior Single Females,Exclusive Discounts
488827,Middle-Aged Single Females,Exclusive Discounts
488865,Middle-Aged Single Females,Free Checked Bag
488870,Elderly Family Females,1 Night Free Hotel with Flight
488918,Senior Single Females,1 Night Free Hotel with Flight
488974,Senior Single Females,Free Checked Bag
489096,Middle-Aged Single Females,1 Night Free Hotel with Flight
489131,Young Adult Single Females,No Cancellation Fee
489575,Middle-Aged Family Females,Free Checked Bag
489635,Senior Single Males,1 Night Free Hotel with Flight
489661,Young Adult Single Females,No Cancellation Fee
489730,Middle-Aged Single Females,Free Checked Bag
489785,Middle-Aged Family Females,No Cancellation Fee
489786,Senior Single Females,No Cancellation Fee
489802,Middle-Aged Single Females,No Cancellation Fee
489844,Senior Family Females,Free Hotel Meal
489852,Senior Single Females,Free Hotel Meal
489949,Senior Family Females,1 Night Free Hotel with Flight
489953,Middle-Aged Family Females,Exclusive Discounts
489992,Adult Single Males,1 Night Free Hotel with Flight
490040,Senior Single Females,1 Night Free Hotel with Flight
490107,Middle-Aged Single Females,Exclusive Discounts
490133,Senior Family Females,Free Hotel Meal
490201,Middle-Aged Family Females,Free Hotel Meal
490348,Middle-Aged Single Females,1 Night Free Hotel with Flight
490358,Adult Family Females,1 Night Free Hotel with Flight
490517,Senior Family Females,Free Checked Bag
490576,Elderly Single Males,Free Checked Bag
490608,Adult Single Females,1 Night Free Hotel with Flight
490629,Middle-Aged Family Females,No Cancellation Fee
490671,Middle-Aged Family Females,Exclusive Discounts
491003,Middle-Aged Family Females,Exclusive Discounts
491124,Senior Single Males,Free Hotel Meal
491141,Senior Single Females,Exclusive Discounts
491175,Elderly Family Females,Free Hotel Meal
491182,Senior Single Females,No Cancellation Fee
491241,Senior Family Females,1 Night Free Hotel with Flight
491266,Middle-Aged Single Females,1 Night Free Hotel with Flight
491559,Senior Single Females,No Cancellation Fee
491597,Middle-Aged Single Females,Exclusive Discounts
491617,Senior Single Females,1 Night Free Hotel with Flight
491706,Middle-Aged Single Males,1 Night Free Hotel with Flight
491772,Senior Single Females,1 Night Free Hotel with Flight
491925,Senior Single Males,No Cancellation Fee
491930,Middle-Aged Single Females,Free Hotel Meal
491995,Teenage Single Males,Free Hotel Meal
492209,Middle-Aged Single Females,No Cancellation Fee
492211,Young Adult Single Males,No Cancellation Fee
492287,Middle-Aged Single Females,1 Night Free Hotel with Flight
492371,Middle-Aged Single Males,No Cancellation Fee
492497,Middle-Aged Single Females,Free Checked Bag
492614,Young Adult Single Females,1 Night Free Hotel with Flight
492999,Adult Single Females,1 Night Free Hotel with Flight
493177,Senior Single Females,Free Checked Bag
493409,Adult Single Males,Free Checked Bag
493476,Middle-Aged Family Females,No Cancellation Fee
493718,Senior Family Females,1 Night Free Hotel with Flight
494294,Middle-Aged Single Females,1 Night Free Hotel with Flight
494374,Senior Single Females,No Cancellation Fee
494382,Middle-Aged Family Females,No Cancellation Fee
494441,Middle-Aged Family Females,No Cancellation Fee
494463,Adult Family Females,No Cancellation Fee
494484,Teenage Single Females,1 Night Free Hotel with Flight
494590,Adult Single Females,1 Night Free Hotel with Flight
494630,Teenage Single Females,Free Hotel Meal
494680,Adult Single Females,Exclusive Discounts
494704,Middle-Aged Single Males,Free Hotel Meal
494985,Senior Single Females,No Cancellation Fee
